player_id,season,team_id,games_played,ppg,rpg,apg,spg,bpg,fg_pct,fg3_pct,ft_pct,minutes,tov,player_efficiency
2760,2021,1610612739,5,2.6,4.0,0.6,0.0,0.4,0.25,0.0,0.556,7.2,0.2,1.5
2772,2021,1610612748,30,9.4,4.8,1.8,1.0,0.6,0.411,0.35,0.773,28.0,0.7,0.6
2772,2022,1610612747,24,4.0,3.4,1.1,0.5,0.3,0.333,0.27,0.556,19.3,0.5,0.4
101108,2021,1610612756,70,16.4,4.5,8.9,1.4,0.3,0.499,0.395,0.934,31.4,2.2,0.4
101108,2022,1610612756,65,14.7,4.4,10.8,1.9,0.3,0.493,0.317,0.837,32.9,2.4,0.5
101108,2023,1610612756,59,13.9,4.3,8.9,1.5,0.4,0.44,0.375,0.831,32.0,1.9,0.5
101108,2024,1610612744,58,9.2,3.9,6.8,1.2,0.1,0.441,0.371,0.827,26.4,1.3,0.3
101108,2025,1610612759,82,8.8,3.6,7.4,1.3,0.3,0.427,0.377,0.924,28.0,1.6,0.2
101139,2022,1610612738,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
101141,2021,1610612762,17,3.8,1.7,0.2,0.6,0.2,0.389,0.439,1.0,8.7,0.5,0.4
101150,2021,1610612737,66,11.3,2.1,3.4,0.7,0.1,0.41,0.399,0.867,21.6,1.6,0.2
101150,2022,1610612737,56,6.3,1.6,1.9,0.5,0.1,0.391,0.363,0.859,14.3,0.8,0.2
200746,2021,1610612751,26,13.5,4.5,1.9,0.4,1.1,0.473,0.388,0.872,25.9,1.0,0.8
200746,2022,1610612751,47,12.9,5.5,0.9,0.3,1.0,0.55,0.304,0.873,22.3,0.9,0.4
200752,2021,1610612759,63,11.4,4.8,1.4,0.7,0.6,0.42,0.381,0.804,21.6,1.0,0.3
200752,2022,1610612762,55,8.1,4.4,1.0,0.5,0.3,0.414,0.345,0.785,18.9,0.9,0.2
200752,2023,1610612762,56,5.2,2.9,1.0,0.3,0.3,0.38,0.254,0.857,14.6,0.7,0.2
200755,2021,1610612742,44,7.4,1.5,1.2,0.3,0.1,0.397,0.371,0.942,16.4,0.8,0.2
200765,2021,1610612746,45,5.4,2.4,4.4,0.8,0.1,0.442,0.404,0.941,17.1,1.8,0.3
200765,2022,1610612739,39,4.8,2.8,4.4,0.8,0.2,0.386,0.352,0.731,17.9,1.7,0.3
200768,2021,1610612761,46,17.2,5.4,7.3,1.0,0.3,0.436,0.396,0.875,34.8,2.7,0.6
200768,2022,1610612748,63,13.4,4.5,7.5,1.1,0.3,0.44,0.377,0.851,33.9,2.7,0.4
